Sample,Date,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless parasitoid wasp,Other wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Anthocoridae,Reduviidae,Cercopoidea,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Unknown coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Neuroptera
C50,8/26/2021,EWB,0,20,0,0,0,9,0,0,0,0,0,65,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
C51,8/26/2021,HDB,0,38,0,0,0,21,0,0,0,1,0,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
C52,8/26/2021,HDB,0,18,12,0,0,24,0,0,0,3,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0
C53,8/26/2021,SNC,0,3,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
C54,8/26/2021,SNC,0,7,0,0,1,3,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
C55,8/26/2021,DGM,0,39,0,2,0,6,0,1,0,0,0,314,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,11,0,0,0
C56,8/26/2021,DGM,0,44,0,0,0,7,0,1,0,1,0,203,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,8,0,0,0
C57,9/19/2021,BFB,0,45,0,0,3,6,0,0,0,2,0,13,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,15,0,0,0
C58,9/19/2021,BFB,0,42,2,1,2,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
C59,9/19/2021,WSC,0,31,1,1,0,6,0,0,0,1,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0
C60,9/19/2021,WSC,0,21,2,0,4,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
C61,9/19/2021,SSH,0,78,0,0,2,17,0,0,0,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1
C62,9/19/2021,SSH,0,74,0,0,1,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63,9/19/2021,EWB,0,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
C64,9/19/2021,EWB,1,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
C65,9/19/2021,HDB,0,12,0,0,1,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0
C66,9/19/2021,HDB,0,1,2,1,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0
C67,9/19/2021,SNC,0,3,1,0,3,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C68,9/19/2021,SNC,0,1,0,0,0,4,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
C69,9/19/2021,DGM,0,37,0,0,0,18,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,12,0,0,0
C70,9/19/2021,DGM,0,26,0,0,0,12,0,0,0,0,0,1,8,0,1,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,0,0
