Date,Site,type,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Other.wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown.Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown.coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
8/26/2021,WSC,SE,2,117,1,3,1,29,0,0,0,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,18,1,0,0,0
9/19/2021,WSC,SE,0,91,8,4,4,21,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0
6/13/2019,BFB,Natural,55,927,0,13,31,30,0,8,0,9,1,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,5,1,1,12,0,0,1,0
7/18/2019,BFB,Natural,9,1171,5,16,11,54,0,0,0,46,1,1,24,25,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,9,14,0,8,3,3,19,0,0,0,0
8/22/2019,BFB,Natural,0,535,9,10,27,150,0,3,0,10,2,0,2267,34,0,0,0,0,0,0,1,0,0,2,12,0,0,0,9,1,5,0,4,3,2,19,0,0,0,1
5/13/2021,BFB,Natural,0,72,0,22,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0
6/17/2021,BFB,Natural,11,134,3,17,1,13,0,0,0,6,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,21,0,0,0,0
7/21/2021,BFB,Natural,3,101,1,54,1,15,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,6,0,1,0,3,1,0,0,0,0
8/26/2021,BFB,Natural,0,100,3,3,0,31,0,3,0,6,0,0,159,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,3,1,0,12,0,0,0,0
9/19/2021,BFB,Natural,0,129,7,3,5,31,0,0,0,6,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,18,0,0,0,0
6/13/2019,DGM,Natural,156,816,1,4,2,37,0,0,1,5,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,50,0,0,0,0
7/18/2019,DGM,Natural,1,417,2,12,4,15,0,0,0,22,2,0,10,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,1,2,32,0,0,0,0
8/22/2019,DGM,Natural,5,222,0,3,0,23,0,0,0,15,1,0,149,7,0,0,0,0,0,0,2,2,0,1,0,0,0,0,17,3,1,1,2,1,7,10,0,0,0,0
5/13/2021,DGM,Natural,2,12396,0,3,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,DGM,Natural,3,182,1,2,3,12,0,0,0,3,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,2,0,8,0,0,0,0
7/21/2021,DGM,Natural,12,310,1,8,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0,0,0,1,0,1,0,0
8/26/2021,DGM,Natural,0,145,2,3,2,14,0,2,0,4,2,0,595,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,2,25,0,0,0,0
9/19/2021,DGM,Natural,0,84,1,1,0,34,0,0,0,6,2,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,1,19,0,0,0,0
6/13/2019,SSH,Natural,71,439,7,22,10,35,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,1,2,0,4,0,0,0,0
7/18/2019,SSH,Natural,12,336,8,18,11,37,0,1,0,36,0,1,44,31,22,0,0,0,0,0,0,8,0,1,0,1,0,0,1,0,1,0,6,2,2,35,2,0,0,0
8/22/2019,SSH,Natural,7,155,3,5,8,52,0,2,0,14,0,0,1809,34,1,0,0,0,0,0,0,6,0,0,2,0,1,0,20,0,0,0,7,3,0,26,0,0,0,1
5/13/2021,SSH,Natural,1,114,2,51,4,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0
6/17/2021,SSH,Natural,7,151,9,6,5,9,1,0,0,6,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0
7/21/2021,SSH,Natural,4,70,3,14,2,8,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,2,3,0,0,0,0
8/26/2021,SSH,Natural,0,55,1,1,3,16,1,0,0,0,0,0,886,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,14,0,0,0,0
9/19/2021,SSH,Natural,0,166,0,0,6,41,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1
