Sample,Date,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless parasitoid wasp,Other wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
C35,6/13/2019,EWB,1,77,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0
C36,6/13/2019,SSH,2,62,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
C38,6/13/2019,SSH,2,42,0,0,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C41,6/13/2019,SSH,3,48,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C42,6/13/2019,WSC,3,55,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
C45,6/13/2019,WSC,6,56,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
C43,6/13/2019,WSC,25,59,0,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
C73,7/18/2019,DGM,0,74,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
C75,7/18/2019,DGM,0,54,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
C77,7/18/2019,DGM,0,58,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0
C70,7/18/2019,HDB,0,9,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0
C71,7/18/2019,HDB,0,12,0,0,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
C72,7/18/2019,HDB,0,6,0,0,0,9,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
C74,7/18/2019,DGM,0,57,0,1,4,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C76,7/18/2019,DGM,1,47,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
C78,7/18/2019,DGM,0,56,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0
C101,7/18/2019,SSH,0,32,0,0,1,4,0,0,0,2,0,0,11,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
C102,7/18/2019,SSH,3,47,0,0,2,5,0,0,0,2,0,0,4,5,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0
C103,7/18/2019,SSH,1,63,0,0,2,4,0,0,0,6,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0
C104,7/18/2019,SSH,1,27,0,0,3,7,0,1,0,5,0,0,8,2,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0
C105,7/18/2019,SSH,0,36,0,0,1,5,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
C106,7/18/2019,SSH,1,65,1,1,1,8,0,0,0,2,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0
C107,7/18/2019,SNC,0,29,0,0,1,3,0,0,0,1,0,0,0,55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
C108,7/18/2019,SNC,0,24,0,0,4,8,0,0,0,6,0,0,7,64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,10,0,0,0,0
C109,7/18/2019,SNC,0,21,0,0,4,2,0,0,0,5,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0
C110,7/18/2019,SNC,3,15,0,0,2,2,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
C111,7/18/2019,SNC,1,42,0,0,1,1,0,1,0,10,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
C112,7/18/2019,SNC,0,16,0,0,1,3,0,0,0,1,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
C113,7/18/2019,EWB,0,23,0,0,3,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,0,0
C114,7/18/2019,EWB,0,23,0,0,2,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0
C115,7/18/2019,EWB,0,22,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,1,0,0
C116,7/18/2019,EWB,0,30,0,0,3,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0
C117,7/18/2019,EWB,0,40,1,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
C118,7/18/2019,EWB,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
C119,7/18/2019,BFB,0,218,0,0,0,3,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
C120,7/18/2019,BFB,0,247,0,0,0,2,0,0,0,2,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
C121,7/18/2019,BFB,0,84,0,0,2,7,0,0,0,4,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0
C122,7/18/2019,BFB,0,122,0,0,1,13,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0
C123,7/18/2019,BFB,0,165,0,1,2,4,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
C124,7/18/2019,BFB,0,205,0,2,1,6,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
C125,7/18/2019,WSC,0,35,0,0,0,6,0,0,0,4,0,0,18,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,1,0,13,0,0,0,0
C126,7/18/2019,WSC,0,71,0,0,0,9,0,0,6,7,0,0,95,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,60,0,0,0,0
C127,7/18/2019,WSC,1,61,0,0,0,3,0,0,5,4,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,69,0,0,0,0
C128,7/18/2019,WSC,1,43,0,0,2,12,0,0,7,3,0,0,60,2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,68,0,0,0,0
C129,7/18/2019,WSC,0,40,0,0,0,14,0,0,1,8,0,1,37,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,33,0,0,0,0
C130,7/18/2019,WSC,1,42,0,0,1,7,0,0,2,11,0,0,44,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,46,0,0,0,0
C141,8/22/2019,HDB,0,19,0,0,0,16,0,0,0,0,0,0,109,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,42,0,0,0,0
C142,8/22/2019,HDB,0,16,0,0,0,10,0,0,0,6,0,0,133,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,123,0,0,0,0
C143,8/22/2019,HDB,0,13,0,0,1,5,0,0,1,4,1,0,133,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,57,0,0,0,0
C144,8/22/2019,EWB,0,13,0,0,0,4,0,0,0,2,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
C145,8/22/2019,EWB,0,15,0,0,0,5,0,0,0,1,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
C146,8/22/2019,EWB,0,14,0,0,0,5,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0
C147,8/22/2019,EWB,0,5,0,0,1,2,0,0,0,4,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
C148,8/22/2019,EWB,0,24,0,0,0,3,0,0,0,2,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
C149,8/22/2019,EWB,0,22,0,0,1,3,0,0,0,2,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
C150,8/22/2019,SNC,0,6,0,0,0,8,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
C151,8/22/2019,SNC,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
C152,8/22/2019,SNC,0,4,0,0,1,3,0,0,0,3,0,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0
C153,8/22/2019,SNC,0,12,0,0,0,5,0,1,0,2,0,3,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0
C154,8/22/2019,SNC,0,6,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
C155,8/22/2019,SNC,0,19,0,0,0,1,0,0,0,3,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0
C156,8/22/2019,SSH,0,25,0,0,1,10,0,0,0,2,0,0,508,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,10,0,0,0,0
C157,8/22/2019,SSH,0,23,0,1,0,2,0,0,0,1,0,0,212,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0
C158,8/22/2019,SSH,0,17,0,0,2,6,0,0,0,0,0,0,378,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
C159,8/22/2019,SSH,0,13,0,0,1,7,0,0,0,1,0,0,362,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
C160,8/22/2019,SSH,0,16,0,0,0,9,0,1,0,2,0,0,40,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
C161,8/22/2019,SSH,0,21,0,0,1,4,0,0,0,3,0,0,299,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0
C162,8/22/2019,WSC,0,21,0,0,1,2,0,0,0,0,1,0,293,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0
C163,8/22/2019,WSC,0,12,0,0,0,8,0,0,0,1,0,1,214,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0
C164,8/22/2019,WSC,0,25,0,0,0,7,0,0,0,1,0,0,398,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
C165,8/22/2019,WSC,0,59,0,0,0,3,0,0,0,1,0,0,137,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0
C166,8/22/2019,WSC,0,21,0,1,0,3,0,0,0,0,0,0,379,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0
C167,8/22/2019,WSC,0,19,0,0,0,3,0,0,0,0,0,0,404,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
C168,8/22/2019,DGM,0,29,0,1,0,6,0,0,0,4,1,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
C169,8/22/2019,DGM,0,21,0,1,0,1,0,0,0,3,0,0,19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
C170,8/22/2019,DGM,0,28,0,0,0,2,0,0,0,2,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0
C171,8/22/2019,DGM,0,37,0,0,0,4,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,1,0,0,0,0
C172,8/22/2019,DGM,0,25,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0
C173,8/22/2019,DGM,0,50,0,0,0,5,0,0,0,1,0,0,10,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
C174,8/22/2019,BFB,0,54,0,0,3,18,0,0,0,0,1,0,326,8,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,1,1,0,1,0,0,2,0,0,0,0
C175,8/22/2019,BFB,0,44,0,0,7,44,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
C176,8/22/2019,BFB,0,41,0,0,3,10,0,0,0,1,0,0,235,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
C177,8/22/2019,BFB,0,108,0,0,2,4,0,0,0,1,0,0,228,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
C178,8/22/2019,BFB,0,90,0,0,4,8,0,0,0,1,1,0,494,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0
C179,8/22/2019,BFB,0,122,0,0,3,18,0,0,0,0,0,0,563,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
C180,6/13/2019,DGM,0,127,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
C181,6/13/2019,DGM,0,92,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
C182,6/13/2019,DGM,2,121,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0
C183,6/13/2019,DGM,1,162,0,0,0,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
C184,6/13/2019,DGM,0,116,0,0,1,10,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
C185,6/13/2019,DGM,0,120,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
