Date,Site,type,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Other.wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown.Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown.coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
8/22/2019,DGM,Ground-level,5,222,0,3,0,23,0,0,0,15,1,0,149,7,0,0,0,0,0,0,2,2,0,1,0,0,0,0,17,3,1,1,2,1,7,10,0,0,0,0
5/13/2021,DGM,Ground-level,2,12396,0,3,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,DGM,Ground-level,3,182,1,2,3,12,0,0,0,3,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,2,0,8,0,0,0,0
7/21/2021,DGM,Ground-level,12,310,1,8,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0,0,0,1,0,1,0,0
8/26/2021,DGM,Ground-level,0,145,2,3,2,14,0,2,0,4,2,0,595,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,2,25,0,0,0,0
9/19/2021,DGM,Ground-level,0,84,1,1,0,34,0,0,0,6,2,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,1,19,0,0,0,0
6/13/2019,SSH,Ground-level,71,439,7,22,10,35,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,1,2,0,4,0,0,0,0
7/18/2019,SSH,Ground-level,12,336,8,18,11,37,0,1,0,36,0,1,44,31,22,0,0,0,0,0,0,8,0,1,0,1,0,0,1,0,1,0,6,2,2,35,2,0,0,0
8/22/2019,SSH,Ground-level,7,155,3,5,8,52,0,2,0,14,0,0,1809,34,1,0,0,0,0,0,0,6,0,0,2,0,1,0,20,0,0,0,7,3,0,26,0,0,0,1
5/13/2021,SSH,Ground-level,1,114,2,51,4,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0
6/17/2021,SSH,Ground-level,7,151,9,6,5,9,1,0,0,6,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0
7/21/2021,SSH,Ground-level,4,70,3,14,2,8,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,2,3,0,0,0,0
8/26/2021,SSH,Ground-level,0,55,1,1,3,16,1,0,0,0,0,0,886,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,14,0,0,0,0
9/19/2021,SSH,Ground-level,0,166,0,0,6,41,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1
